Date,Open,High,Low,Close,Volume
29-Sep-17,960.11,964.83,958.38,961.35,2543759
28-Sep-17,951.86,959.70,950.10,956.40,2522567
27-Sep-17,948.00,955.30,943.30,950.87,3124726
26-Sep-17,945.49,948.63,931.75,938.60,3564848
25-Sep-17,949.31,949.42,932.89,939.79,5123997
22-Sep-17,961.01,965.61,954.42,955.10,2641787
21-Sep-17,971.31,971.70,962.02,964.65,2337576
20-Sep-17,971.79,974.81,962.16,973.21,2888795
19-Sep-17,977.25,978.24,967.46,969.86,2671054
18-Sep-17,990.40,992.79,968.17,974.19,3411324
15-Sep-17,993.01,996.25,984.03,986.79,3760183
14-Sep-17,996.80,998.56,987.74,992.21,3913263
13-Sep-17,983.97,1000.00,979.42,999.60,3374650
12-Sep-17,983.27,984.67,975.52,982.58,2481066
11-Sep-17,974.46,981.94,974.22,977.96,2186666
8-Sep-17,979.10,979.88,963.47,965.90,2605322
7-Sep-17,974.00,980.59,972.55,979.47,2566794
6-Sep-17,968.32,971.84,960.60,967.80,2129861
5-Sep-17,975.40,976.77,960.37,965.27,2998649
1-Sep-17,984.20,984.50,976.88,978.25,2535917
